N,P,K,temperature,humidity,ph,rainfall,label
102,76,49,29.27,84.57,5.98,110.46,banana
94,75,53,28.17,77.46,6.97,100.25,banana
98,82,45,29.84,81.46,5.5,104.3,banana
116,83,49,31.27,82.03,6.64,106.14,banana
111,83,46,25.22,83.32,6.51,110.17,banana
94,86,53,27.51,76.77,6.65,110.91,banana
80,79,54,28.11,77.22,5.53,98.43,banana
117,77,46,29.29,78.03,6.58,97.03,banana
100,77,48,31.33,82.07,5.81,95.88,banana
113,78,54,28.98,79.94,6.33,109.8,banana
103,84,51,25.46,76.28,5.6,97.79,banana
103,75,50,30.48,76.92,6.52,119.76,banana
108,81,48,28.92,79.54,6.91,109.23,banana
118,71,54,28.03,84.95,5.91,110.41,banana
99,77,53,31.19,77.25,5.92,102.6,banana
98,70,47,25.57,80.72,5.54,112.12,banana
119,78,46,26.75,76.64,5.97,108.78,banana
84,80,53,29.15,81.26,6.0,97.51,banana
84,75,48,25.38,78.34,6.69,118.31,banana
111,82,53,29.38,80.79,5.63,91.82,banana
81,76,53,25.46,76.28,6.88,103.26,banana
92,83,46,29.74,80.59,5.94,101.44,banana
84,85,47,29.2,81.6,5.52,101.52,banana
112,88,51,27.38,84.38,6.67,103.62,banana
93,74,46,29.17,75.68,6.68,95.81,banana
103,83,48,27.95,82.25,6.17,97.29,banana
112,71,48,28.05,84.6,6.63,99.34,banana
115,86,46,27.16,78.43,6.05,90.24,banana
103,84,46,28.55,83.35,6.79,102.66,banana
88,74,54,30.5,78.42,6.5,110.84,banana
119,82,48,29.05,84.63,6.42,102.56,banana
86,79,53,25.3,77.19,5.51,96.69,banana
89,82,47,30.14,84.53,6.0,112.2,banana
88,74,55,27.54,75.74,5.55,93.46,banana
92,74,51,30.36,75.44,5.54,95.93,banana
87,88,52,27.38,80.55,5.77,90.64,banana
114,88,45,29.74,78.79,6.68,93.33,banana
117,76,47,30.67,81.61,6.91,119.31,banana
120,88,54,25.46,76.44,6.89,113.85,banana
88,78,49,29.2,84.77,5.87,91.39,banana
105,74,50,30.53,78.28,5.58,113.87,banana
115,87,55,31.2,77.09,5.62,104.12,banana
107,71,50,30.26,81.45,6.26,104.96,banana
99,76,49,29.86,82.16,6.24,98.05,banana
96,88,51,25.26,77.2,5.8,115.9,banana
96,76,54,29.0,84.35,6.06,106.52,banana
85,72,49,27.46,80.84,6.2,108.63,banana
97,79,49,30.63,78.17,6.07,95.39,banana
89,83,49,25.58,83.43,6.27,109.31,banana
111,89,46,25.5,75.38,5.8,95.9,banana
93,76,53,29.78,77.74,6.56,119.94,banana
120,85,52,31.39,75.09,5.95,114.67,banana
111,78,49,29.06,81.55,6.21,105.38,banana
110,73,49,26.59,82.49,6.21,105.47,banana
111,85,52,28.23,82.92,5.97,95.64,banana
111,84,47,28.15,80.58,6.06,107.33,banana
85,89,45,30.67,83.34,6.01,102.57,banana
107,78,53,28.76,78.26,5.53,113.56,banana
117,73,55,27.31,81.3,6.4,108.24,banana
115,90,47,27.73,80.34,5.78,93.26,banana
103,79,54,25.65,76.04,6.33,90.96,banana
108,80,47,25.49,84.63,5.93,96.99,banana
106,71,46,28.63,76.72,6.79,102.33,banana
86,72,50,28.35,75.69,6.93,115.97,banana
85,74,49,29.97,79.75,6.41,118.17,banana
104,80,52,26.93,75.07,5.71,91.92,banana
96,86,50,31.37,83.79,6.19,107.28,banana
109,76,54,28.19,82.0,6.57,98.92,banana
105,86,47,26.74,84.0,6.6,103.73,banana
116,74,51,27.75,84.46,5.86,116.12,banana
91,83,48,31.41,81.98,6.58,96.52,banana
100,90,51,31.97,75.77,5.66,113.0,banana
22,24,30,32.06,54.24,5.65,103.89,mango
30,23,40,35.56,52.93,5.52,92.29,mango
33,22,40,31.85,46.36,6.6,94.85,mango
34,18,41,35.42,48.41,5.54,92.01,mango
21,26,33,27.78,60.27,6.85,93.07,mango
22,19,26,33.75,49.32,6.89,106.73,mango
31,28,39,35.97,52.81,6.12,91.05,mango
15,30,40,36.29,52.49,5.98,91.83,mango
23,35,32,28.92,58.38,5.94,107.65,mango
31,32,28,28.67,53.31,5.72,96.54,mango
26,19,29,32.42,63.78,5.74,94.28,mango
22,18,33,30.16,52.78,6.42,91.32,mango
31,28,32,27.67,49.37,6.1,101.98,mango
35,17,36,36.91,62.01,5.84,109.18,mango
27,35,39,33.78,64.45,6.89,96.64,mango
28,33,31,35.52,54.64,6.17,102.17,mango
27,23,38,29.32,56.75,7.48,94.65,mango
27,33,31,34.38,60.14,6.74,91.2,mango
22,21,28,29.04,45.76,7.35,101.96,mango
34,30,32,29.78,57.87,7.02,100.42,mango
35,28,31,27.24,61.94,6.16,94.84,mango
26,33,38,29.48,58.75,6.94,102.16,mango
23,21,34,27.06,62.4,5.64,93.85,mango
28,18,29,27.92,56.85,7.16,108.64,mango
20,17,40,30.11,59.43,5.99,93.53,mango
20,21,34,33.36,50.44,7.06,91.6,mango
34,23,28,31.41,55.11,6.97,105.21,mango
31,31,25,30.81,62.08,7.02,108.43,mango
27,18,40,29.57,54.27,6.41,97.5,mango
27,16,28,31.69,48.09,5.88,90.26,mango
25,30,35,36.26,63.81,7.44,97.46,mango
25,28,37,31.09,45.78,7.34,97.7,mango
26,19,34,29.55,63.26,6.94,100.19,mango
25,29,39,33.51,63.53,6.97,94.85,mango
16,31,38,33.76,58.95,6.79,95.23,mango
24,29,30,33.02,64.04,7.18,90.25,mango
30,28,43,30.98,56.72,7.3,100.37,mango
19,23,42,29.53,51.04,7.44,103.17,mango
23,21,33,35.76,59.55,5.68,102.72,mango
31,22,28,34.49,63.6,6.3,96.16,mango
35,31,25,27.7,58.93,6.55,103.09,mango
30,18,32,34.04,48.96,5.86,108.97,mango
24,31,29,27.59,48.65,7.02,95.19,mango
33,23,38,33.24,62.37,5.83,95.86,mango
23,21,32,32.86,54.56,6.85,92.02,mango
16,30,25,32.82,64.75,5.69,100.45,mango
15,27,45,34.61,63.64,6.45,96.74,mango
24,22,43,36.99,61.34,7.38,103.3,mango
23,16,32,30.3,47.0,6.41,103.97,mango
30,33,28,33.02,62.38,6.06,103.99,mango
31,22,37,33.59,54.5,6.33,93.76,mango
35,34,41,27.17,52.2,5.59,106.15,mango
22,24,37,31.0,57.25,5.66,98.56,mango
34,34,45,35.57,63.1,6.97,95.88,mango
19,18,35,32.72,62.14,6.51,92.56,mango
31,21,38,32.49,62.5,5.84,98.93,mango
17,28,30,29.12,60.07,6.82,91.79,mango
24,29,28,36.29,63.05,7.03,94.41,mango
20,25,43,28.23,47.72,6.57,104.51,mango
17,29,42,36.32,60.33,6.7,102.88,mango
23,29,40,30.82,57.84,6.62,107.12,mango
31,19,27,27.88,46.78,6.98,108.74,mango
30,17,32,35.53,64.08,6.65,90.03,mango
16,26,42,36.8,51.39,6.23,103.59,mango
31,25,37,29.22,52.91,6.58,99.21,mango
18,34,42,32.0,54.12,6.7,92.92,mango
28,31,39,32.99,51.18,7.48,92.47,mango
35,29,35,35.29,54.9,6.91,97.53,mango
35,22,42,29.11,59.65,7.12,104.01,mango
16,32,29,31.88,52.84,7.47,103.19,mango
32,35,36,30.37,58.56,7.48,105.15,mango
23,26,31,33.96,48.9,7.21,97.88,mango
18,30,37,35.05,62.0,6.92,99.15,mango
18,18,39,29.91,47.9,5.94,104.97,mango
30,15,40,32.76,58.57,7.48,92.95,mango
34,24,42,36.26,46.92,7.45,93.59,mango
16,35,38,32.93,64.39,6.75,98.08,mango
16,20,35,33.88,64.09,6.81,97.51,mango
29,31,38,34.78,62.3,6.8,95.5,mango
28,22,27,27.83,54.78,6.84,100.19,mango
15,26,36,29.74,59.91,7.09,93.62,mango
25,28,34,32.71,46.99,5.63,108.18,mango
31,19,41,27.2,56.12,6.57,106.24,mango
25,25,37,34.14,60.8,5.75,105.06,mango
34,33,29,32.99,48.6,6.61,106.01,mango
17,18,29,28.61,56.25,7.2,90.7,mango
35,25,32,32.44,53.46,7.39,90.0,mango
21,34,35,34.83,58.18,6.39,101.54,mango
29,25,45,30.52,55.76,5.92,91.98,mango
31,20,29,30.0,61.65,7.41,102.04,mango
19,22,28,33.22,46.49,6.01,97.64,mango
33,23,27,29.54,53.51,6.89,100.72,mango
16,30,45,33.97,48.85,6.24,103.15,mango
31,27,33,28.53,64.85,6.37,90.52,mango
27,17,27,28.1,55.97,5.63,102.8,mango
22,22,30,35.69,49.52,5.52,97.54,mango
34,23,27,36.26,48.51,6.96,96.13,mango
31,25,36,34.0,62.31,6.6,102.15,mango
33,18,44,30.9,51.9,6.98,109.36,mango
26,27,42,31.77,47.55,5.52,100.27,mango
18,123,201,33.0,78.32,6.59,79.49,grapes
29,126,204,32.03,79.1,6.98,75.97,grapes
25,127,201,40.02,83.29,6.72,66.1,grapes
32,144,201,18.63,78.54,5.62,74.6,grapes
34,124,196,33.28,81.32,6.24,77.49,grapes
34,131,203,32.85,80.88,6.27,79.96,grapes
33,137,201,28.95,83.47,6.62,74.28,grapes
29,139,199,33.13,83.71,6.74,77.61,grapes
26,135,204,40.8,82.05,6.82,70.47,grapes
20,122,208,25.47,83.71,6.13,67.58,grapes
22,123,209,16.49,81.23,6.65,62.36,grapes
21,127,198,33.09,81.41,5.83,66.1,grapes
34,136,207,9.2,80.78,6.43,69.77,grapes
22,135,200,20.03,78.03,6.84,63.72,grapes
22,123,202,10.88,81.09,5.73,62.48,grapes
25,124,205,15.69,80.37,5.95,68.57,grapes
19,140,197,22.91,83.04,5.74,67.07,grapes
24,129,208,14.75,79.14,5.56,67.89,grapes
30,143,197,14.77,80.88,6.5,65.32,grapes
23,134,207,32.29,79.95,6.65,77.64,grapes
25,143,208,21.22,78.66,5.66,60.42,grapes
18,132,207,16.04,82.07,6.01,79.53,grapes
30,131,199,24.52,82.57,5.87,63.05,grapes
25,126,206,37.38,83.97,5.87,76.41,grapes
19,138,207,31.84,81.01,5.77,79.85,grapes
27,136,198,12.5,78.23,6.99,78.58,grapes
24,135,196,9.73,80.44,5.96,72.67,grapes
20,128,202,25.34,81.86,5.96,65.38,grapes
21,129,201,18.87,78.29,5.56,61.04,grapes
30,125,202,38.89,78.6,5.78,78.97,grapes
22,128,196,8.46,81.31,6.79,66.62,grapes
30,129,207,25.98,80.23,6.48,64.2,grapes
23,142,197,33.25,78.72,6.38,78.24,grapes
28,125,206,39.47,78.45,6.32,66.86,grapes
30,145,198,32.51,78.26,5.79,71.01,grapes
20,142,208,38.83,83.85,6.84,68.97,grapes
29,143,196,22.25,83.59,6.26,60.44,grapes
27,137,197,9.55,81.4,6.69,73.88,grapes
30,130,205,37.59,83.83,5.75,75.01,grapes
23,139,201,17.23,79.1,5.74,64.36,grapes
29,142,207,23.48,82.25,6.29,66.07,grapes
19,138,203,13.82,78.27,5.86,60.78,grapes
18,142,209,17.19,82.74,6.46,64.98,grapes
31,133,195,19.81,81.63,6.05,61.66,grapes
29,134,206,21.88,81.67,5.99,61.15,grapes
31,141,198,40.82,79.06,6.96,70.75,grapes
35,139,207,11.62,82.47,6.07,73.08,grapes
32,136,203,35.77,79.32,5.9,71.63,grapes
31,139,197,15.88,82.36,6.05,78.04,grapes
17,125,198,37.32,79.13,6.24,74.59,grapes
28,121,197,14.04,80.37,6.41,61.39,grapes
16,126,209,40.99,78.6,6.29,74.54,grapes
31,135,201,8.7,82.96,6.65,72.89,grapes
16,126,196,12.85,81.76,5.52,79.33,grapes
34,123,206,19.51,82.24,5.8,69.61,grapes
26,131,197,19.28,78.93,5.58,73.84,grapes
28,123,207,11.5,79.78,6.27,76.73,grapes
18,143,195,22.52,78.88,6.48,64.52,grapes
33,130,208,35.97,78.67,5.75,62.2,grapes
17,144,200,28.93,78.71,6.88,78.4,grapes
33,135,198,26.04,81.6,6.52,63.0,grapes
28,128,207,19.85,78.62,6.87,73.23,grapes
34,140,206,10.6,78.01,6.9,62.97,grapes
28,128,201,32.53,82.71,6.22,61.35,grapes
27,144,199,11.08,83.97,5.77,67.7,grapes
21,131,205,22.07,82.76,6.0,76.04,grapes
28,126,201,24.9,81.2,6.3,76.43,grapes
23,135,201,27.65,82.16,6.62,74.06,grapes
20,120,210,8.58,81.35,6.94,78.42,grapes
16,129,208,37.47,82.91,5.94,62.88,grapes
32,144,209,16.24,82.97,5.58,62.76,grapes
34,138,201,8.9,83.79,6.06,74.03,grapes
28,122,208,37.6,78.18,6.05,61.58,grapes
17,134,207,13.09,79.09,6.62,74.96,grapes
29,127,201,19.47,82.69,6.54,65.74,grapes
18,142,195,33.54,81.02,5.52,76.65,grapes
29,142,203,36.2,83.51,6.25,74.19,grapes
23,124,210,25.73,83.87,5.69,64.24,grapes
27,125,198,33.36,81.36,6.76,76.33,grapes
24,128,205,36.13,78.99,6.71,72.93,grapes
19,123,196,28.51,83.08,5.54,65.64,grapes
26,122,204,33.72,79.85,6.33,72.77,grapes
16,127,210,27.2,81.38,6.69,60.91,grapes
21,144,195,20.13,79.69,6.1,63.9,grapes
30,138,210,31.89,78.58,6.11,74.83,grapes
17,140,197,27.96,80.29,6.38,77.04,grapes
21,124,202,38.1,78.56,6.58,77.69,grapes
31,136,207,13.48,83.78,6.27,74.57,grapes
28,143,200,34.7,80.03,6.04,77.12,grapes
24,142,207,21.18,79.25,6.42,61.5,grapes
18,136,202,35.36,78.86,6.81,70.94,grapes
34,140,196,11.2,79.88,6.9,63.23,grapes
21,129,196,14.09,82.63,5.89,69.47,grapes
20,142,205,12.78,78.74,6.35,60.79,grapes
32,130,208,39.18,78.77,6.05,76.9,grapes
34,129,205,25.2,79.58,6.81,73.65,grapes
27,136,206,16.32,82.93,5.51,77.06,grapes
21,124,201,10.48,80.33,6.19,61.87,grapes
24,136,208,23.81,78.51,6.6,78.35,grapes
33,139,198,19.18,79.9,6.99,69.73,grapes
101,12,48,24.15,81.56,6.47,52.8,watermelon
90,5,51,25.52,89.36,6.36,48.6,watermelon
94,6,54,27.81,86.84,6.27,52.71,watermelon
83,6,49,25.19,87.12,6.87,50.5,watermelon
100,9,53,24.37,89.02,6.34,55.06,watermelon
85,10,49,25.9,86.89,6.16,53.93,watermelon
91,15,49,24.04,87.83,6.6,41.56,watermelon
100,14,48,27.95,89.39,6.74,54.73,watermelon
90,7,50,24.59,88.64,6.11,59.4,watermelon
92,13,45,25.8,88.33,6.13,48.99,watermelon
109,6,47,27.92,84.2,6.55,43.32,watermelon
91,10,55,27.89,85.77,6.01,56.28,watermelon
80,18,50,27.47,86.99,6.65,49.12,watermelon
92,10,50,26.09,87.65,6.11,43.52,watermelon
93,8,51,26.17,83.82,6.85,53.77,watermelon
93,9,51,27.7,88.57,7.0,56.12,watermelon
83,15,51,25.65,84.96,6.75,58.54,watermelon
83,12,51,24.13,82.9,6.42,44.46,watermelon
94,11,47,25.88,81.24,6.97,58.28,watermelon
92,17,52,26.96,80.08,6.37,44.48,watermelon
89,18,48,27.35,87.95,6.41,44.83,watermelon
107,11,45,24.61,83.74,6.82,56.4,watermelon
98,10,55,27.97,82.42,6.97,43.85,watermelon
99,17,53,26.31,81.29,6.64,59.55,watermelon
85,19,50,25.75,81.0,6.8,50.09,watermelon
99,17,53,26.51,82.6,6.55,58.97,watermelon
86,6,49,26.52,85.93,6.03,54.15,watermelon
108,6,49,26.97,81.31,6.45,52.63,watermelon
91,9,54,25.19,85.35,6.25,55.6,watermelon
104,17,52,25.1,89.35,6.63,52.77,watermelon
97,7,50,26.38,81.07,6.28,57.89,watermelon
83,12,49,27.35,83.91,6.49,40.44,watermelon
82,19,46,26.75,83.75,6.31,58.17,watermelon
104,8,45,24.71,85.67,6.61,40.63,watermelon
109,20,50,26.46,85.46,6.16,54.83,watermelon
108,8,45,24.09,85.12,6.15,57.34,watermelon
83,8,48,24.88,87.28,6.94,45.35,watermelon
94,19,48,26.21,82.94,6.75,49.92,watermelon
95,11,47,24.69,86.87,6.89,45.62,watermelon
92,14,53,25.25,87.94,6.95,49.76,watermelon
106,11,52,27.26,86.23,6.61,48.59,watermelon
97,11,51,24.26,81.67,6.03,50.23,watermelon
98,9,53,26.58,89.65,6.35,40.6,watermelon
85,10,53,25.43,80.73,6.66,47.44,watermelon
103,7,48,24.04,83.29,6.47,55.9,watermelon
107,13,49,26.41,85.27,6.1,45.56,watermelon
98,18,54,24.3,88.93,6.42,55.12,watermelon
90,10,47,27.21,84.99,6.99,48.42,watermelon
84,8,48,25.53,85.76,6.29,52.87,watermelon
106,20,54,25.14,88.42,6.4,57.92,watermelon
108,6,51,24.28,80.95,6.8,54.47,watermelon
88,16,49,26.23,83.13,6.61,47.87,watermelon
101,12,53,27.87,81.21,6.37,52.36,watermelon
81,6,45,24.42,83.23,6.69,48.71,watermelon
85,8,54,25.48,89.03,6.99,58.68,watermelon
106,9,53,24.44,89.47,6.08,46.59,watermelon
98,17,48,24.68,81.38,6.46,42.53,watermelon
106,16,54,27.86,84.13,6.45,42.45,watermelon
96,14,52,27.91,83.22,6.73,44.52,watermelon
88,9,46,26.23,88.73,6.66,54.71,watermelon
86,6,55,24.24,80.13,6.22,56.37,watermelon
86,7,47,26.36,85.28,6.86,55.21,watermelon
89,12,47,26.02,89.14,6.22,47.27,watermelon
109,18,50,27.12,81.88,6.28,43.28,watermelon
89,18,51,24.59,88.76,6.75,44.81,watermelon
107,8,45,26.65,84.53,6.27,58.54,watermelon
83,11,47,26.01,85.08,6.05,45.45,watermelon
83,15,52,25.69,82.94,6.4,51.88,watermelon
96,12,49,26.72,86.46,6.96,44.39,watermelon
82,6,48,24.26,81.01,6.23,52.4,watermelon
101,11,46,26.94,88.8,6.27,44.11,watermelon
104,10,48,26.39,87.34,6.09,50.06,watermelon
101,12,48,27.63,82.39,6.32,41.39,watermelon
86,18,46,24.05,84.75,6.33,43.55,watermelon
88,6,52,27.41,85.94,6.97,51.66,watermelon
95,9,46,27.28,85.67,6.99,56.71,watermelon
96,8,46,24.38,83.05,6.74,49.05,watermelon
102,20,48,25.95,83.64,6.01,47.05,watermelon
101,18,53,27.43,89.02,6.6,42.26,watermelon
101,16,45,27.91,88.56,6.66,42.83,watermelon
95,9,52,27.89,83.59,6.74,43.88,watermelon
109,15,55,27.51,86.79,6.9,48.99,watermelon
109,13,48,26.72,88.88,6.39,48.35,watermelon
110,10,45,26.08,83.43,6.61,48.67,watermelon
94,20,53,25.15,89.69,6.5,53.71,watermelon
94,7,55,26.5,86.64,6.3,45.77,watermelon
104,5,45,25.13,85.93,6.05,46.12,watermelon
93,15,45,25.01,83.5,6.28,57.18,watermelon
100,17,47,24.34,82.71,7.0,43.93,watermelon
98,6,47,25.89,83.55,6.81,52.74,watermelon
93,20,46,25.05,83.02,6.31,51.28,watermelon
100,10,51,26.73,82.0,6.14,51.09,watermelon
89,6,51,26.51,85.46,6.38,57.52,watermelon
93,7,49,25.25,89.35,6.71,49.37,watermelon
93,11,49,24.11,85.59,6.96,48.42,watermelon
103,14,48,24.97,85.12,6.13,50.87,watermelon
97,9,53,25.57,84.03,6.01,56.15,watermelon
106,12,46,24.22,88.3,6.65,46.67,watermelon
83,9,50,25.33,80.61,6.74,53.49,watermelon
102,6,47,24.58,87.4,6.5,44.47,watermelon
100,18,48,28.55,94.95,6.01,29.7,muskmelon
101,7,45,30.02,90.61,6.1,24.09,muskmelon
94,17,49,27.28,90.61,6.4,39.65,muskmelon
105,18,50,31.11,93.41,6.86,32.34,muskmelon
93,15,47,31.09,93.29,6.17,34.83,muskmelon
96,12,48,30.34,94.8,6.49,33.35,muskmelon
92,15,46,29.08,92.12,6.03,29.14,muskmelon
97,5,48,30.23,94.47,6.62,20.85,muskmelon
107,19,50,30.62,91.38,6.98,27.15,muskmelon
106,13,48,30.53,91.95,6.06,33.12,muskmelon
91,16,48,30.58,93.93,6.28,35.25,muskmelon
89,11,54,30.23,91.88,6.47,33.18,muskmelon
97,19,53,29.63,90.65,6.32,39.1,muskmelon
90,14,49,27.22,94.26,6.16,21.93,muskmelon
83,19,50,30.8,94.91,6.81,34.65,muskmelon
87,18,47,31.46,93.78,6.42,21.29,muskmelon
98,7,53,27.36,93.82,6.61,36.81,muskmelon
108,10,52,28.89,94.94,6.57,23.99,muskmelon
88,12,48,28.01,90.81,6.81,36.17,muskmelon
86,14,51,30.34,91.02,6.81,37.87,muskmelon
91,11,50,27.36,90.93,6.73,38.22,muskmelon
99,12,53,29.85,92.37,6.35,32.37,muskmelon
97,7,46,29.14,91.88,6.07,21.56,muskmelon
103,9,46,28.15,93.01,6.33,24.48,muskmelon
108,19,48,30.52,90.34,6.87,39.36,muskmelon
82,14,54,31.66,92.5,6.4,21.13,muskmelon
101,7,50,31.59,91.32,6.03,26.76,muskmelon
88,10,53,27.7,92.74,6.73,38.48,muskmelon
100,18,47,27.36,94.74,6.9,34.06,muskmelon
103,6,55,31.75,92.99,6.61,21.61,muskmelon
97,19,48,27.21,90.18,6.51,33.01,muskmelon
93,10,54,31.86,90.11,6.06,35.47,muskmelon
104,13,54,30.41,93.69,6.55,21.04,muskmelon
103,15,49,29.13,90.69,6.44,37.94,muskmelon
109,11,47,29.18,90.29,6.23,31.77,muskmelon
87,16,54,30.97,92.84,6.99,20.3,muskmelon
102,17,46,27.63,90.9,6.04,26.99,muskmelon
100,9,48,30.03,92.39,6.12,21.54,muskmelon
88,13,50,30.68,91.78,6.92,24.41,muskmelon
101,19,53,28.46,93.27,6.53,25.35,muskmelon
101,13,46,31.5,93.53,6.62,25.6,muskmelon
86,7,55,28.15,93.71,6.21,27.45,muskmelon
104,7,55,30.49,93.25,6.45,22.28,muskmelon
95,6,48,28.92,94.14,6.08,25.58,muskmelon
98,12,54,28.92,90.22,6.21,23.69,muskmelon
93,6,48,29.71,91.74,6.03,32.17,muskmelon
107,19,54,31.05,92.95,6.76,26.82,muskmelon
105,12,49,30.65,93.68,6.06,22.18,muskmelon
92,16,52,31.29,94.69,6.46,31.45,muskmelon
97,13,47,28.91,93.73,6.92,22.64,muskmelon
80,17,55,27.43,91.25,6.54,26.75,muskmelon
92,14,49,30.3,93.91,6.81,32.16,muskmelon
84,14,48,28.32,90.89,6.46,28.8,muskmelon
94,19,50,31.22,91.09,6.06,38.78,muskmelon
88,14,48,27.32,90.9,6.77,25.52,muskmelon
106,7,51,27.73,93.09,6.05,22.29,muskmelon
81,15,54,29.9,90.21,6.72,21.22,muskmelon
101,9,48,30.39,94.29,6.35,34.37,muskmelon
98,10,46,29.22,92.56,6.24,26.52,muskmelon
91,17,49,30.21,94.38,6.14,26.53,muskmelon
104,10,49,30.26,92.35,6.97,32.44,muskmelon
85,6,54,31.56,90.13,6.61,36.16,muskmelon
95,17,50,29.91,91.72,6.21,36.61,muskmelon
81,16,49,31.99,90.39,6.08,38.71,muskmelon
87,13,51,29.74,92.09,6.73,36.95,muskmelon
96,6,50,29.62,92.21,6.27,36.72,muskmelon
89,9,47,30.84,91.81,6.46,34.96,muskmelon
83,9,52,31.4,91.81,6.35,30.11,muskmelon
107,15,51,29.24,92.09,6.57,36.54,muskmelon
84,13,53,29.04,92.92,6.14,25.21,muskmelon
89,10,46,29.11,94.92,6.58,32.65,muskmelon
103,18,54,27.08,90.6,6.26,31.09,muskmelon
108,16,46,27.17,92.16,6.69,39.8,muskmelon
84,18,54,31.52,91.77,6.4,31.14,muskmelon
101,7,54,31.49,92.96,6.62,39.88,muskmelon
81,16,49,29.24,92.04,6.45,36.7,muskmelon
89,12,46,27.92,93.83,6.92,38.73,muskmelon
83,18,51,28.85,93.25,6.38,28.77,muskmelon
95,14,54,27.48,91.49,6.34,31.28,muskmelon
107,14,53,29.13,91.61,6.32,23.57,muskmelon
84,17,52,31.95,91.05,6.52,31.5,muskmelon
98,6,48,27.59,91.37,6.44,37.71,muskmelon
89,19,55,30.77,94.62,6.67,22.82,muskmelon
86,18,53,27.14,94.51,6.96,30.8,muskmelon
104,5,53,27.13,91.02,6.94,31.42,muskmelon
102,13,53,28.47,90.55,6.71,36.89,muskmelon
93,11,48,31.32,94.97,6.73,22.33,muskmelon
91,6,53,30.64,91.64,6.51,25.52,muskmelon
99,13,53,30.53,91.57,6.92,28.67,muskmelon
108,17,48,31.21,93.31,6.88,20.71,muskmelon
99,5,46,28.88,94.72,6.67,25.31,muskmelon
85,17,52,28.41,90.99,6.88,39.02,muskmelon
106,16,45,27.34,92.79,6.21,23.56,muskmelon
93,9,49,29.92,93.19,6.48,33.14,muskmelon
85,10,47,28.46,92.43,6.8,27.84,muskmelon
91,12,46,27.56,94.4,6.75,25.75,muskmelon
109,10,52,27.58,92.32,6.32,22.27,muskmelon
101,16,53,29.42,94.02,6.49,28.24,muskmelon
87,9,50,31.45,93.91,6.06,35.44,muskmelon
88,10,49,29.21,91.99,6.91,25.37,muskmelon
30,127,207,22.23,92.05,6.07,105.0,apple
19,133,209,23.45,91.65,6.1,100.6,apple
29,136,196,23.82,94.56,6.27,116.59,apple
28,130,200,21.79,90.78,6.04,125.79,apple
20,136,209,22.33,91.08,6.23,128.2,apple
16,120,209,21.41,91.99,5.98,104.71,apple
21,125,207,21.99,91.36,5.62,123.52,apple
28,123,206,22.08,90.42,5.57,121.66,apple
30,128,195,24.32,93.02,5.65,122.08,apple
31,124,204,22.25,91.62,6.01,100.7,apple
20,124,199,23.62,92.36,5.79,102.79,apple
34,131,202,24.63,92.67,5.74,100.52,apple
25,128,201,23.19,90.54,5.72,129.26,apple
23,125,201,23.25,93.21,5.83,124.29,apple
35,122,198,24.46,92.45,5.75,104.24,apple
27,129,206,23.27,91.16,6.27,107.56,apple
21,127,197,22.29,92.83,5.91,100.17,apple
29,135,207,23.18,91.57,6.15,109.66,apple
29,130,208,24.97,90.41,5.61,120.98,apple
23,135,197,23.99,90.83,5.94,129.16,apple
16,128,198,24.21,92.44,6.25,116.41,apple
23,126,202,22.18,94.61,6.18,115.67,apple
27,127,205,21.57,92.62,5.7,118.42,apple
29,130,199,22.85,94.68,6.43,121.6,apple
32,123,203,24.32,90.05,5.92,104.51,apple
16,140,200,21.75,93.47,6.04,109.93,apple
16,129,197,22.4,92.8,5.73,118.86,apple
34,125,207,24.47,92.92,5.81,118.74,apple
23,125,203,23.64,90.39,5.65,121.92,apple
21,125,197,24.19,92.94,6.27,109.9,apple
30,132,199,24.23,94.36,6.17,114.2,apple
18,136,210,21.37,94.02,5.65,104.94,apple
32,126,208,21.21,92.56,5.94,119.95,apple
22,130,197,23.24,91.89,5.89,114.23,apple
21,130,203,24.53,94.21,6.46,128.36,apple
32,134,208,23.24,92.45,6.29,120.56,apple
26,129,200,21.1,91.83,5.97,120.1,apple
30,124,203,24.99,94.7,5.88,105.37,apple
30,120,202,23.1,90.03,5.81,102.82,apple
22,125,209,23.43,90.17,5.77,114.36,apple
16,134,199,23.5,94.86,6.32,125.9,apple
34,140,204,22.96,92.37,6.37,122.52,apple
31,121,195,24.58,90.77,6.24,126.13,apple
18,128,208,21.22,93.19,5.56,102.92,apple
26,140,198,23.46,90.08,6.34,125.45,apple
21,134,209,23.35,94.72,6.02,128.22,apple
23,137,205,21.26,94.13,6.0,121.87,apple
17,129,199,21.79,92.53,5.67,122.4,apple
32,120,199,22.4,91.71,6.07,120.89,apple
26,129,197,21.36,93.65,5.69,117.73,apple
34,135,207,21.87,91.87,5.58,121.73,apple
20,137,205,24.61,90.96,6.26,103.98,apple
16,134,198,21.56,91.58,5.73,105.65,apple
33,124,199,23.79,91.32,5.99,117.36,apple
22,133,202,23.52,94.16,5.54,125.04,apple
23,131,198,23.81,91.73,6.31,123.89,apple
19,134,203,24.32,93.97,5.59,123.2,apple
20,129,195,21.46,93.29,5.69,104.19,apple
27,127,201,23.35,90.17,6.2,118.88,apple
32,120,201,22.34,93.24,5.6,127.39,apple
21,129,198,21.09,94.05,5.96,117.28,apple
24,128,208,22.01,91.87,5.84,120.36,apple
21,139,208,24.05,94.5,6.01,112.63,apple
